quarter,year,total_credit_outstanding_bn,total_credit_active_consumers,impaired_accounts_count,impaired_accounts_pct,new_credit_granted_bn,number_of_credit_providers
Q4 2019,2019,1890.2,27100000,9800000,36.2,146.3,4211
Q1 2020,2020,1901.5,27200000,9900000,36.4,128.7,4198
Q2 2020,2020,1872.3,26800000,10200000,38.1,89.4,4175
Q3 2020,2020,1855.6,26600000,10500000,39.5,102.1,4163
Q4 2020,2020,1868.9,26900000,10400000,38.7,118.6,4148
Q1 2021,2021,1882.4,27000000,10350000,38.3,124.2,4132
Q2 2021,2021,1901.7,27150000,10280000,37.9,138.5,4119
Q3 2021,2021,1924.3,27300000,10210000,37.4,145.8,4107
Q4 2021,2021,1948.6,27500000,10150000,36.9,152.3,4095
Q1 2022,2022,1972.1,27650000,10180000,36.8,148.6,4082
Q2 2022,2022,2001.4,27800000,10220000,36.8,155.4,4071
Q3 2022,2022,2045.8,27950000,10290000,36.8,162.1,4058
Q4 2022,2022,2098.3,28100000,10350000,36.8,168.9,4044
Q1 2023,2023,2142.6,28250000,10410000,36.9,163.2,4031
Q2 2023,2023,2198.4,28400000,10480000,36.9,171.5,4018
Q3 2023,2023,2251.7,28550000,10540000,36.9,178.3,4005
Q4 2023,2023,2312.5,28700000,10610000,37.0,185.6,3992
Q1 2024,2024,2348.9,28820000,10650000,37.0,179.4,3981
Q2 2024,2024,2378.3,28930000,10680000,36.9,183.7,3970
Q3 2024,2024,2401.6,29020000,10700000,36.9,187.2,3961
Q4 2024,2024,2418.5,29100000,10720000,36.8,191.4,3952
