quarter,year,new_applications,total_under_debt_review,applications_granted,applications_rejected,rescissions_granted,registered_debt_counsellors
Q4 2019,2019,28450,248300,26100,2350,4820,2641
Q1 2020,2020,26300,251200,24100,2200,4650,2638
Q2 2020,2020,18900,252800,17200,1700,3980,2635
Q3 2020,2020,22400,256100,20500,1900,4210,2631
Q4 2020,2020,29800,261500,27300,2500,5100,2628
Q1 2021,2021,31200,267800,28600,2600,5380,2624
Q2 2021,2021,33500,274600,30800,2700,5620,2619
Q3 2021,2021,35100,282300,32200,2900,5840,2615
Q4 2021,2021,37800,291500,34700,3100,6120,2611
Q1 2022,2022,38600,301200,35400,3200,6350,2608
Q2 2022,2022,40200,312100,36900,3300,6580,2604
Q3 2022,2022,42100,324500,38600,3500,6820,2600
Q4 2022,2022,44800,338200,41100,3700,7150,2597
Q1 2023,2023,45600,352400,41800,3800,7380,2594
Q2 2023,2023,47200,367800,43300,3900,7620,2591
Q3 2023,2023,49100,384600,45000,4100,7890,2588
Q4 2023,2023,51800,402900,47500,4300,8240,2585
Q1 2024,2024,52400,421600,48100,4300,8480,2582
Q2 2024,2024,53900,441200,49500,4400,8720,2579
Q3 2024,2024,55200,461800,50700,4500,8960,2576
Q4 2024,2024,57100,483500,52400,4700,9310,2573
